riesgo_laboral,EDAD,SEXO,NIVEL_EDUCATIVO,EXPERIENCIA_MESES,ESTRATO,ZONA,REGION,ESTADO_CIVIL,JEFATURA_HOGAR
,28,2,8,12.0,,2,8,2,2
,17,2,5,,1.0,2,13,6,3
,15,2,5,,1.0,2,13,6,3
1.0,28,1,1,12.0,1.0,2,13,2,2
,17,1,4,,1.0,2,13,6,3
1.0,21,1,4,1.0,1.0,2,13,1,3
,16,2,4,,1.0,2,13,1,7
,16,1,5,,1.0,2,13,6,3
,26,1,1,,1.0,2,13,6,3
1.0,24,2,5,12.0,1.0,2,13,4,3
,16,2,4,,1.0,2,13,6,8
,28,2,5,,1.0,2,13,4,1
,21,2,10,,1.0,2,13,6,3
,17,1,4,,1.0,2,13,6,3
,20,2,5,,1.0,2,13,6,3
,22,2,5,,1.0,2,13,6,9
,17,2,5,,1.0,2,13,6,3
1.0,24,1,5,12.0,1.0,2,13,4,3
1.0,24,2,5,1.0,1.0,2,13,4,3
,21,2,5,,1.0,2,13,4,3
,16,1,4,,1.0,2,13,6,3
,28,2,5,12.0,1.0,2,13,4,3
,17,1,5,,1.0,2,70,6,3
1.0,25,1,5,12.0,0.0,2,70,6,3
,20,2,10,,0.0,2,70,6,3
,24,1,5,,0.0,2,70,6,3
,22,2,10,,0.0,2,70,6,3
,20,1,10,,1.0,2,70,6,3
,15,2,4,,1.0,2,70,6,3
,20,2,10,12.0,0.0,2,70,6,3
,25,2,5,,0.0,2,70,2,7
,18,1,5,8.0,0.0,2,70,6,8
1.0,24,1,5,12.0,0.0,2,70,2,8
,21,2,5,,0.0,2,70,2,9
1.0,20,1,5,12.0,1.0,2,70,6,3
1.0,18,2,10,,1.0,2,70,6,3
1.0,22,1,3,,1.0,2,70,1,3
1.0,21,2,10,,1.0,2,70,1,7
1.0,26,1,5,12.0,1.0,2,70,6,3
0.0,26,2,10,12.0,1.0,2,70,6,3
1.0,23,1,5,12.0,1.0,2,70,6,3
,27,2,10,12.0,1.0,2,70,6,3
,23,1,9,12.0,1.0,2,70,6,3
1.0,26,2,5,12.0,0.0,2,70,4,3
1.0,27,1,5,12.0,1.0,1,70,2,8
,23,2,5,12.0,1.0,1,70,2,9
1.0,20,1,5,,1.0,1,70,6,3
,20,1,5,,1.0,1,70,6,3
,15,1,4,,1.0,1,70,6,3
,22,2,5,,1.0,1,70,2,3
,15,2,3,,1.0,1,70,1,7
,27,2,5,,1.0,1,70,2,2
,17,1,10,,3.0,1,15,6,3
1.0,24,2,5,12.0,2.0,1,15,2,1
,16,2,5,,2.0,1,15,6,3
1.0,24,1,5,6.0,2.0,1,15,6,3
1.0,22,2,6,,2.0,1,15,6,3
,23,2,5,3.0,2.0,2,15,2,1
1.0,23,2,5,,2.0,2,15,2,2
1.0,23,2,4,12.0,1.0,2,15,2,1
1.0,26,1,5,12.0,1.0,2,15,2,2
1.0,27,2,5,12.0,2.0,2,15,6,3
0.0,25,2,8,12.0,2.0,2,15,6,3
,16,1,5,,2.0,2,15,6,3
0.0,26,1,5,11.0,2.0,2,15,2,1
1.0,24,2,10,12.0,2.0,1,15,6,3
0.0,22,1,8,10.0,2.0,1,15,1,1
1.0,27,2,5,4.0,2.0,1,15,1,2
1.0,27,2,5,,2.0,2,15,6,3
1.0,25,1,5,,2.0,2,15,6,8
1.0,26,2,8,1.0,2.0,2,15,6,3
,19,1,8,8.0,2.0,2,15,6,8
1.0,17,1,6,,2.0,2,15,6,3
0.0,22,2,5,8.0,3.0,1,15,6,6
,25,2,10,,3.0,1,15,6,1
1.0,26,2,10,,2.0,1,15,6,1
,15,1,4,,2.0,1,15,6,3
0.0,23,2,11,4.0,2.0,1,15,6,1
1.0,25,2,10,8.0,2.0,1,15,2,2
,27,2,3,,2.0,1,15,6,1
0.0,24,1,5,12.0,2.0,1,15,6,3
1.0,19,1,5,,2.0,1,15,6,3
1.0,24,1,5,12.0,2.0,1,15,6,3
,18,2,5,,2.0,1,15,2,2
1.0,19,1,5,12.0,2.0,2,15,6,3
1.0,18,1,5,10.0,2.0,2,15,6,3
,17,1,5,,2.0,2,15,6,3
1.0,28,1,5,12.0,2.0,2,15,6,3
,17,1,5,,2.0,2,15,6,3
,22,1,10,,2.0,2,15,6,3
1.0,28,1,5,2.0,2.0,2,15,6,3
,15,1,5,,2.0,2,15,6,3
,21,2,9,,2.0,2,15,6,3
,19,1,5,,2.0,2,15,6,3
,17,2,5,,2.0,2,15,6,3
,16,2,5,,2.0,2,15,6,3
,26,2,5,,2.0,2,15,6,3
,15,1,5,,2.0,2,15,6,3
,17,1,4,,2.0,2,15,6,3
,17,2,5,,2.0,2,15,6,3
1.0,24,1,10,,2.0,2,15,6,3
1.0,23,1,4,,2.0,2,15,6,3
,27,2,5,,2.0,2,15,6,3
0.0,23,1,4,12.0,2.0,2,15,6,3
,16,1,4,,2.0,2,15,6,3
,16,1,5,,2.0,2,15,6,8
,22,2,10,,2.0,1,15,6,3
,18,1,10,,2.0,1,15,6,3
,15,2,5,,2.0,1,15,6,3
,18,1,5,,2.0,1,15,6,3
,24,1,10,,2.0,1,76,6,3
,20,1,10,12.0,2.0,1,76,6,3
,18,2,7,12.0,2.0,1,76,6,3
,19,2,10,,2.0,1,76,6,3
0.0,22,1,10,12.0,2.0,1,76,6,1
1.0,17,1,4,1.0,2.0,1,76,6,3
1.0,17,1,4,,2.0,1,76,6,8
,15,1,4,,2.0,1,76,6,3
1.0,20,2,5,12.0,2.0,2,76,2,2
1.0,22,2,4,12.0,2.0,2,76,4,13
1.0,20,2,10,12.0,2.0,1,76,6,3
0.0,25,2,10,12.0,2.0,1,76,6,1
1.0,24,1,4,12.0,2.0,1,17,6,3
1.0,25,2,5,,1.0,1,17,6,3
,16,1,5,,2.0,1,63,6,9
1.0,21,2,8,,2.0,1,63,6,3
,28,2,4,,1.0,1,63,2,2
,16,2,4,,1.0,1,63,6,3
,19,2,10,,2.0,1,63,6,3
1.0,25,2,4,12.0,2.0,1,63,2,1
0.0,23,1,8,12.0,2.0,1,63,2,2
,25,2,10,,3.0,2,63,3,2
1.0,26,2,5,,3.0,2,63,6,9
0.0,20,1,9,12.0,3.0,2,63,6,3
,16,2,6,,3.0,2,63,6,3
0.0,22,1,4,12.0,3.0,2,63,2,1
,17,2,6,,3.0,2,63,2,2
,17,2,6,,2.0,1,63,6,8
,21,1,5,,1.0,2,73,6,9
,16,2,4,,2.0,2,73,6,3
1.0,17,2,5,,2.0,2,73,6,3
,15,2,4,,1.0,2,73,6,3
,22,2,5,,1.0,2,73,6,3
,27,2,5,,1.0,2,73,2,2
1.0,24,1,5,12.0,2.0,1,73,2,1
0.0,19,2,10,3.0,2.0,1,73,2,2
,16,1,5,,2.0,1,73,6,3
,17,1,6,,2.0,1,73,6,3
,16,2,4,,2.0,1,73,6,3
1.0,25,1,9,12.0,2.0,1,73,4,3
,18,1,10,,2.0,1,73,6,3
,16,1,5,,2.0,1,73,6,3
1.0,22,2,5,,2.0,1,73,6,3
,18,1,5,,2.0,1,73,6,3
1.0,28,1,5,12.0,2.0,1,73,6,3
